contract_id,variant_id,store_id,plan_id,ordered_at,plan_purchase_price,is_refunded,contract_length_years,line_item_id
"001a6812-809e-4318-873d-4124742b7b69","30143018631191","0d92cbe4-2d26-4c81-ae4e-7ace36b6700b","10001-misc-elec-base-replace-1y",2020-05-07 19:26:23.000000,23.99,false,1.0,"4507782316055"
"01f5a99c-2a60-4080-950d-3607699c07c9","31095887003766","661964ec-5d06-4dea-bbb2-56d3b9817a98","10001-misc-elec-base-replace-1y",2020-05-06 00:48:11.000000,22.99,false,1.0,"4830406115446"
"01836ce1-283e-4979-a1c1-b6e876b9ab34","31437319733291","fb650744-0bf1-4662-a98c-b7a35f5f540f","10001-laptop-base-replace-2y",2020-03-24 17:24:38.000000,31.99,false,2.0,"4414597726251"
"03014a1f-212e-40d0-a0cb-fed261956c7b","31436843843627","fb650744-0bf1-4662-a98c-b7a35f5f540f","10001-laptop-base-replace-2y",2020-03-16 19:08:05.000000,35.99,false,2.0,"4398918991915"
"03299045-7778-40af-91af-9f9013a1cecb","29266134663242","2798ad2f-a9cb-4ed0-b787-30ea6b2dfc2b","10001-misc-elec-base-replace-3y",2020-05-26 22:12:55.000000,59.99,false,3.0,"5351136591946"
"03a373ac-3ff5-4857-bcbc-f71f2c579077","13710594474045","cbd9a3a0-8457-4bd9-abf6-5de6b62da6c2","10001-misc-elec-base-replace-2y",2020-03-17 18:14:05.000000,18.99,false,2.0,"4390639632445"
"040fc08b-73c5-4210-96af-e75207364b19","30259617792064","fb650744-0bf1-4662-a98c-b7a35f5f540f","10001-laptop-base-replace-1y",2020-03-14 17:35:25.000000,19.99,false,1.0,"4395047977003"
"053833d5-c98a-4cc0-a9fe-8dbbb2f7fb41","31095887003766","661964ec-5d06-4dea-bbb2-56d3b9817a98","10001-misc-elec-base-replace-2y",2020-04-30 02:12:34.000000,41.99,false,2.0,"4794715897974"
"031da889-88fc-4db7-a4e1-2069571846b9","31500681478257","5dfad31f-9dc6-4e02-b8ba-ad59d42fa8d5","10001-misc-elec-base-replace-1y",2020-05-26 13:29:39.000000,2.29,false,1.0,"5116290596977"
"04570576-2395-462e-9a1a-806a37872cd8","44983342275","2798ad2f-a9cb-4ed0-b787-30ea6b2dfc2b","10001-misc-elec-base-replace-1y",2020-04-24 22:53:21.000000,23.99,false,1.0,"5110164291658"
"048260a1-f98e-4878-9bfd-0baa5feacfcb","20313667502134","fd8f6538-a246-4fc8-b179-ca40fccfbb25","10001-misc-elec-base-replace-2y",2020-04-12 07:19:08.000000,36.99,false,2.0,"4584754774070"
"05ae0f48-7ade-455d-85f6-96e43b378c70","35225953665","fd8f6538-a246-4fc8-b179-ca40fccfbb25","10001-misc-elec-base-replace-2y",2020-05-29 00:33:01.000000,74.99,false,2.0,"4769992605750"
"062c0e0c-9cb2-4824-9c33-8ea30a4a73b7","31095886970998","661964ec-5d06-4dea-bbb2-56d3b9817a98","10001-misc-elec-base-replace-1y",2020-05-04 20:11:33.000000,22.99,false,1.0,"4823527456886"
"07301cd5-43a1-4ad0-a047-1821eb700347","45161870866","a5e80a29-c6af-446f-b569-f021e697c48c","10001-misc-elec-base-replace-2y",2020-04-08 04:41:30.000000,8.49,false,2.0,"4677610963076"
"0792f3db-355d-41f6-a3f8-3f0c9f3645eb","7796224032829","cbd9a3a0-8457-4bd9-abf6-5de6b62da6c2","10001-misc-elec-base-replace-1y",2020-05-15 19:37:57.000000,3.79,false,1.0,"4565310111805"
"024712bd-5289-4f82-b8c1-d318969c072e","30305061011574","cbc0b107-7112-4a84-9a5f-a1cfdcfcfdbd","10001-misc-elec-base-replace-1y",2020-04-23 13:32:06.000000,23.99,false,1.0,"4760051744886"
"026141c0-55c2-4fd3-9e14-ebf411fc3d71","31095886970998","661964ec-5d06-4dea-bbb2-56d3b9817a98","10001-misc-elec-base-replace-1y",2020-05-12 03:06:49.000000,22.99,false,1.0,"4862934974582"
"0287cb27-dcfa-4c76-a7c8-359c5ff983b2","8132402282598","c18e4014-49ee-4f3d-8813-c7a9f2e407b9","10001-misc-elec-base-replace-1y",2020-05-27 19:58:28.000000,29.99,false,1.0,"4946556977254"
"08e1563c-12ec-47e4-a2fe-368c0b2a47a0","31414260596779","fb650744-0bf1-4662-a98c-b7a35f5f540f","10001-laptop-base-replace-2y",2020-04-01 21:57:27.000000,32.99,false,2.0,"4435602800683"
